Pipistrellus pygmaeus,0.74,0.742,1.0995,1.1048,,51c2543e-5048-4210-ac72-1064ee0dd64a
Pipistrellus pygmaeus,0.625,0.629,1.1435,1.1486,,a518d70d-f3c7-43eb-8174-b3114d63d397
Pipistrellus pygmaeus,0.695,0.698,1.1915,1.1966,,63db5e83-7a2c-4264-ad89-0361e3b28ce2
Pipistrellus pygmaeus,0.649,0.656,1.3065,1.3132,,901ea69f-9fc6-4387-b5e3-398317f36d08
Pipistrellus pygmaeus,0.671,0.677,1.3645,1.3711,,6e4ce144-6548-42f8-9049-c446170d74ce
Pipistrellus pygmaeus,0.683,0.686,1.4495,1.4554,,c461c1d6-cf41-4e3b-8595-3352b859a159
Pipistrellus pygmaeus,0.766,0.771,1.5345,1.5402,,dbcb3bdc-e7db-465f-b73a-6a25d0b4996e
Pipistrellus pygmaeus,0.771,0.776,1.5855,1.5915,,de7f5d83-2e98-4e04-a486-85e4cd88554d
Pipistrellus pygmaeus,0.722,0.725,1.6835,1.6893,,96d8f42c-b5dd-42db-a313-a4cb7e7977e7
Pipistrellus pygmaeus,0.742,0.744,1.7445,1.7505,,6040396f-c388-4a47-a982-3c358b5dd0cc
Pipistrellus pygmaeus,0.7,0.701,1.8085,1.8142,,9e91f850-8ac7-4171-a6f9-31af02303fba
Pipistrellus pygmaeus,0.636,0.638,1.8655,1.8705,,aa3ca3d8-151b-4040-9fb5-40eea7bc168c
Pipistrellus pygmaeus,0.621,0.629,1.9115,1.9167,,efb604ae-3968-438b-86bf-6b39d574702a
Pipistrellus pygmaeus,0.835,0.838,2.1925,2.1991,,0c47af5f-51c7-438b-88f3-3ab928cd1fd1
Pipistrellus pygmaeus,0.759,0.765,2.2775,2.2854,,c12d065f-bc90-47b2-bf19-360e0bcdd5c9
Pipistrellus pygmaeus,0.798,0.806,2.3705,2.3785,,badb68c1-5744-458b-901e-ba2b38f22384
Pipistrellus pygmaeus,0.647,0.654,2.4595,2.4675,,a57a32ad-e9d8-4e7b-824d-767e2242a5c3
Pipistrellus pygmaeus,0.774,0.782,2.5465,2.5525,,78f3dff9-12d4-4003-84fb-ea67b90dae2b
Pipistrellus pygmaeus,0.777,0.779,2.6295,2.6352,,74830ca4-f74e-4df4-a93a-5ed23b6ce7e5
Pipistrellus pygmaeus,0.784,0.786,2.7145,2.7208,,bf3d2534-4807-4a1a-9826-60a44060971f
Pipistrellus pygmaeus,0.737,0.739,2.8035,2.8086,,ba553908-fe71-4303-b361-dfc4812a2bfe
Pipistrellus pygmaeus,0.799,0.804,2.8895,2.8965,,335f2f9e-b543-4451-ac7e-d253175895c4
Pipistrellus pygmaeus,0.76,0.764,2.9775,2.9832,,4a4df03b-7460-4f67-97ee-0460f022f692
Eptesicus serotinus,0.306,0.535,1.9205,1.9266,,149b38cb-8a8a-4e24-a1ee-09adbb3de5d7
Barbastellus barbastellus,0.433,0.594,2.2055,2.211,,4287c4cf-16d7-49b3-bfc2-8f897ab734a2
Barbastellus barbastellus,0.326,0.604,2.3135,2.3186,,d56f4ee2-7e61-414b-a950-19fe9c9105b8
Eptesicus serotinus,0.378,0.537,2.5255,2.5321,,1785af66-1c85-4b47-8a83-ecd065c4ef21
Barbastellus barbastellus,0.402,0.522,2.7295,2.7358,,a1c76324-6227-4cf2-843b-1ebc69cf3325
Eptesicus serotinus,0.522,0.602,2.9365,2.9446,,cc1dc0a0-292a-481c-b51f-812bf48af89d
Barbastellus barbastellus,0.512,0.572,1.5745,1.5795,,c14732b8-0e7e-48ac-ab3a-7c744227e33a
Barbastellus barbastellus,0.458,0.521,2.3115,2.3161,,46af1cda-9a30-44ef-949a-3fbb46e89e15
